                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7119,                 4.9188,                 1.5457,                0.00111,                0.33333,                0.00093,                0.00022,                 1.6754,                 4.9927,                  1.406,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.2088,                 3.5596,                 1.0505,                0.00333,                      1,                0.01091,                0.00464,                 1.7466,                 4.1704,                 1.0925,             0.00021782,             0.00021782,             0.00021782
                      3,                 1.2797,                  2.452,                 1.0923,                0.00333,                      1,                0.11887,                0.06211,                 1.6942,                 4.3691,                 1.0827,             0.00033327,             0.00033327,             0.00033327
                      4,                 1.3844,                 2.2301,                  1.098,                0.00333,                      1,                0.06342,                0.03346,                 1.4096,                 4.1699,                 1.0271,             0.00044634,             0.00044634,             0.00044634
                      5,                 1.2853,                 1.9372,                 1.0547,                0.00333,                      1,                0.12212,                0.08331,                 1.4887,                 4.1773,                 1.0522,             0.00055703,             0.00055703,             0.00055703
                      6,                 1.3301,                  1.762,                 1.0801,                0.00333,                      1,                0.01611,                0.01035,                 1.4886,                 4.0229,                 1.0298,             0.00066535,             0.00066535,             0.00066535
                      7,                 1.2981,                 1.7462,                 1.0696,                0.00333,                      1,                0.00804,                0.00328,                 1.4042,                 4.0971,                 1.0516,             0.00077129,             0.00077129,             0.00077129
                      8,                 1.3059,                 1.6745,                 1.0592,                0.00333,                      1,                0.12124,                0.04909,                  1.556,                 3.9667,                 1.1259,             0.00087486,             0.00087486,             0.00087486
                      9,                 1.2599,                 1.5897,                  1.087,                0.00333,                      1,                 0.1207,                0.08393,                 1.4505,                 4.1351,                 1.1089,             0.00097605,             0.00097605,             0.00097605
                     10,                 1.3444,                 1.6897,                 1.0933,                0.00333,                      1,                0.23559,                0.07879,                 1.8104,                 3.9996,                 1.3113,              0.0010749,              0.0010749,              0.0010749
                     11,                 1.2387,                 1.6592,                 1.0566,                      1,                0.19546,                 0.5913,                 0.2262,                 1.7999,                 3.6864,                 1.2373,              0.0011713,              0.0011713,              0.0011713
                     12,                 1.2095,                 1.6256,                 1.0359,                      1,                0.29153,                0.77886,                0.29252,                 1.5726,                 3.4004,                 1.2553,              0.0012654,              0.0012654,              0.0012654
                     13,                 1.2957,                 1.6365,                 1.0719,                      1,                0.51903,                0.76958,                0.34699,                 1.4661,                 3.0887,                 1.2116,               0.001357,               0.001357,               0.001357
                     14,                 1.2383,                 1.5474,                 1.0766,                0.00333,                      1,                0.45967,                 0.1331,                 1.4797,                  3.373,                 1.2344,              0.0014464,              0.0014464,              0.0014464
                     15,                 1.2443,                 1.4706,                 1.0493,                0.00333,                      1,                0.37378,                0.13008,                 1.4582,                 3.4015,                 1.2685,              0.0015333,              0.0015333,              0.0015333
                     16,                 1.1898,                 1.3782,                  1.079,                0.00296,                0.88889,                0.59573,                0.29898,                 1.6763,                 3.3617,                 1.2703,              0.0016179,              0.0016179,              0.0016179
                     17,                 1.2226,                 1.2898,                 1.0764,                0.00296,                0.88889,                0.64453,                0.31331,                 1.7256,                 3.3215,                 1.2886,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1385,                  1.321,                 1.0326,                0.85898,                0.67811,                0.78982,                0.37525,                 1.9814,                 2.8369,                 1.5167,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2699,                 1.3233,                 1.1065,                0.91628,                0.66667,                0.76451,                0.34527,                  2.052,                  2.833,                 1.5988,              0.0016436,              0.0016436,              0.0016436
                     20,                  1.281,                 1.3728,                 1.0719,                      1,                0.66204,                0.73577,                0.36829,                 1.8835,                 2.5668,                 1.5977,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2447,                 1.2529,                 1.1295,                0.84448,                0.66667,                0.70534,                0.32464,                 1.9367,                 2.4992,                  1.649,               0.001604,               0.001604,               0.001604
                     22,                 1.1868,                 1.3016,                 1.0251,                0.69717,                0.76834,                0.57876,                0.28295,                 1.8651,                 2.3992,                 1.5402,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2757,                 1.3467,                 1.0865,                      1,                0.87511,                0.94324,                0.36346,                 1.7814,                 1.9731,                 1.5096,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1547,                 1.2089,                 1.0366,                0.79763,                0.88889,                0.91861,                0.35345,                 1.8106,                 1.7604,                 1.4387,              0.0015446,              0.0015446,              0.0015446
